Song Name,Artists,Album,Image_Info,Times Played
MELTDOWN (feat. Drake),"Travis Scott, Drake",UTOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640}",1
MOSHPIT,Baby Keem,DIE FOR MY BITCH,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640}",1
MY EX,Baby Keem,DIE FOR MY BITCH,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640}",5
MY EYES,Travis Scott,UTOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640}",1
Magnolia,Playboi Carti,Playboi Carti,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1', 'width': 640}",1
Mamacita (feat. Rich Homie Quan & Young Thug),"Travis Scott, Rich Homie Quan, Young Thug",Mamacita (feat. Rich Homie Quan & Young Thug),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a53a4cb046216d7ac049b5bf', 'width': 640}",2
Maria,Justin Bieber,Believe (Deluxe Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39', 'width': 640}",3
Mary's Song (Oh My My My),Taylor Swift,Taylor Swift,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c', 'width': 640}",3
Missed You - Bonus Track,The Weeknd,After Hours (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640}",5
Moves Like Jagger,"Studio Recording From ""The Voice"" Performance - Maroon 5, Christina Aguilera",Hands All Over,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ce70cb2d7063cf869f9f1239', 'width': 640}",1
Murder on My Mind,YNW Melly,I AM YOU,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0', 'width': 640}",1
Mystery Lady,"Masego, Don Toliver",Studying Abroad: Extended Stay,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273472da7a855e1446b36bcb83b', 'width': 640}]",2
NIRVANA,Katy Perry,1432,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795', 'width': 640}",3
NO BYSTANDERS,Travis Scott,ASTROWORLD,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640}",1
No Pole,Don Toliver,Love Sick (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577', 'width': 640}",5
No Regrets (feat. Don Toliver),"Eminem, Don Toliver",Music To Be Murdered By - Side B (Deluxe Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b84b0516d901f95461bb5165', 'width': 640}",1
Nobody Gets Me,SZA,SOS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1', 'width': 640}",4
Noid,"Tyler, The Creator",Noid,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dc620428d6bbc305cd43c19b', 'width': 640}",4
Not So Bad (Leans Gone Cold),Rae Sremmurd,Sremm 4 Life,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27335f8ccf883b032b20efd6e9c', 'width': 640}",1
Novacane,Frank Ocean,Novacane,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27359a428dc7ef8e0c12b0fe18a', 'width': 640}",4
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott, Young Thug",JACKBOYS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f', 'width': 640}",1
Often,The Weeknd,Beauty Behind The Madness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640}",1
On That Time,Playboi Carti,Whole Lotta Red,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb', 'width': 640}",1
One Time,Justin Bieber,My World,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737c3bb9f74a98f60bdda6c9a7', 'width': 640}",3
Open Arms (feat. Travis Scott),"SZA, Travis Scott",SOS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1', 'width': 640}",3
Open Hearts,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",4
Opening Night,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",2
Out Of Town Girl,Justin Bieber,Believe (Deluxe Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39', 'width': 640}",3
Out of Time,The Weeknd,Dawn FM (Alternate World),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273baae906c39533f95acb87d47', 'width': 640}",1
P2,Lil Uzi Vert,Eternal Atake,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27309969f5c11a466d0e459286a', 'width': 640}",1
PTSD,"G Herbo, Lil Uzi Vert, Juice WRLD, Chance the Rapper",PTSD,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733fd756c1de4d4e2bb0c2ba7c', 'width': 640}",3
PURPLE HEART (w/ Don Toliver),"Odetari, Don Toliver",DOOR TO DUSK,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27399cf928a0bc891cdf194efe6', 'width': 640}",1
Party Monster,The Weeknd,Starboy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}",2
Perfect,One Direction,Made In The A.M. (Deluxe Edition),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3', 'width': 640}]",2
Poison Ivy,Tory Lanez,Alone at Prom (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734048d1ba8aa549c822504e03', 'width': 640}",5
Pompeii,Bastille,Bad Blood,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273258225089decfb3d5c3718d3', 'width': 640}",1
Power is Power (feat. The Weeknd & Travis Scott),"SZA, The Weeknd, Travis Scott, Game of Thrones",For The Throne (Music Inspired by the HBO Series Game of Thrones),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d4024fdf2c5056be8a08d09c', 'width': 640}",3
Pretty,The Weeknd,Kiss Land,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4860d5331509e2c9ee4de10', 'width': 640}",2
Promiscuous,"Nelly Furtado, Timbaland",Loose,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2', 'width': 640}",2
Pyramids,Frank Ocean,channel ORANGE,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5', 'width': 640}",4
RICK OWENS (feat. Ken Carson),"Ufo361, lucidbeatz, Ken Carson",RICK OWENS (feat. Ken Carson),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730ebe66ffa71d7331040de174', 'width': 640}",4
ROCKSTAR P,Baby Keem,DIE FOR MY BITCH,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640}",4
Raindrops (Insane) [with Travis Scott],"Metro Boomin, Travis Scott",HEROES & VILLAINS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640}",1
Real Life,The Weeknd,Beauty Behind The Madness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640}",1
Reflections,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739b6ac98a52f62d5cb473da40', 'width': 640}",1
Reflections Laughing,The Weeknd,Hurry Up Tomorrow,640,14
Reminder,The Weeknd,Starboy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}",1
Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",Without Warning,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730db43130a9aaa7bae56967ed', 'width': 640}",1
Rockin’,The Weeknd,Starboy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}",1
Runaway,"Kanye West, Pusha T",My Beautiful Dark Twisted Fantasy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f', 'width': 640}",1
SKELETONS,Travis Scott,ASTROWORLD,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640}",1
SKY CITY,"¥$, Kanye West, Ty Dolla $ign",VULTURES 2,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640}",1
SLIDE,"¥$, Kanye West, Ty Dolla $ign",VULTURES 2,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640}",1
STARS,"¥$, Kanye West, Ty Dolla $ign",VULTURES 1,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e4a1ea8a6708fc23f26e4a', 'width': 640}",2
STOP TRYING TO BE GOD,Travis Scott,ASTROWORLD,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640}",2
Sacrifice,The Weeknd,Dawn FM (Alternate World),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273baae906c39533f95acb87d47', 'width': 640}",1
Sauce It Up,Lil Uzi Vert,Luv Is Rage 2,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273aab4824c720639a6a2d7d932', 'width': 640}",6
Secrets,OneRepublic,Waking Up,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27377a7bd558d81172446e525bb', 'width': 640}",3
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",Flower Boy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3', 'width': 640}",4
Self Control,Frank Ocean,Blonde,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526', 'width': 640}",11
Shameless,The Weeknd,Beauty Behind The Madness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640}",1
She,"Tyler, The Creator, Frank Ocean",Goblin,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27328ae9a159d24cb0ab2552712', 'width': 640}",3
She Don't Like The Lights,Justin Bieber,Believe (Deluxe Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39', 'width': 640}",2
Splash.Wave.Repeat (Interlude),Tory Lanez,Alone at Prom (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734048d1ba8aa549c822504e03', 'width': 640}",4
Sports car,Tate McRae,Sports car,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27318a681e1e525405b2f909032', 'width': 640}",5
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",CHROMAKOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c', 'width': 640}",5
Starboy,"The Weeknd, Daft Punk",Starboy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}",4
Stargirl Interlude,"The Weeknd, Lana Del Rey",Starboy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640}",4
Stars Align (with Drake),"Majid Jordan, Drake",Wildest Dreams,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ecca1386fa4e6b7a947907ef', 'width': 640}",7
Super Bass,Nicki Minaj,Pink Friday (Complete Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273aa7d2641af0fa4c1f76fafbf', 'width': 640}",1
Superman,Taylor Swift,Speak Now (Deluxe Edition),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732e4ec3175d848eca7b76b07f', 'width': 640}]",2
São Paulo,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",4
TELEKINESIS (feat. SZA & Future),"Travis Scott, SZA, Future",UTOPIA,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'width': 640}",1
TENNESSEE,"Tommy Richman, Trevor Spitta, Zachary Moon",COYOTE,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cd721da3f9b44382eae07d72', 'width': 640}",4
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27311d6f8c713ef93a9bb64ddfe', 'width': 640}",3
That Should Be Me,Justin Bieber,My World 2.0,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a', 'width': 640}",4
The Birds Pt. 1,The Weeknd,Thursday (Original),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e01c2631218e2de27765b7d5', 'width': 640}",1
The Hills,The Weeknd,Beauty Behind The Madness,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640}",3
The One That Got Away,Katy Perry,Teenage Dream,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27343219fb4e2c45a0b7df6ef87', 'width': 640}",3
The Party & The After Party,The Weeknd,House Of Balloons (Original),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079', 'width': 640}",8
Till Dawn (Here Comes The Sun),The Weeknd,Trilogy,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273158c84a1b6f8b935dc7fa9a9', 'width': 640}",3
Timeless,The Weeknd,Timeless,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4', 'width': 640}",6
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4', 'width': 640}",1
Too Late,The Weeknd,After Hours,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36', 'width': 640}",6
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",HEROES & VILLAINS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640}",1
Trance (with Travis Scott & Young Thug),"Metro Boomin, Travis Scott, Young Thug",HEROES & VILLAINS,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89', 'width': 640}",3
Until I Bleed Out,The Weeknd,After Hours (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640}",4
Until We're Skin & Bones,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",4
Used (feat. Don Toliver),"SZA, Don Toliver",SOS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1', 'width': 640}]",2
WHO? WHAT!,Travis Scott,ASTROWORLD,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3', 'width': 640}",1
Wake Me Up,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274d969d92192873b7e62a92', 'width': 640}]",2
Wanderlust,The Weeknd,Kiss Land,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4860d5331509e2c9ee4de10', 'width': 640}]",2
"Would've, Could've, Should've",Taylor Swift,Midnights (3am Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0', 'width': 640}",3
Wu-Tang Forever,Drake,Nothing Was The Same,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d', 'width': 640}",1
XO / The Host,The Weeknd,Echoes Of Silence (Original),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27336fb79728dbb379579cef97e', 'width': 640}",2
You (feat. Travis Scott),"Don Toliver, Travis Scott",Life of a DON,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ab738b25b86bf02f0346c53d', 'width': 640}",1
"You're On Your Own, Kid",Taylor Swift,Midnights (The Til Dawn Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0', 'width': 640}",1
Zombies,Travis Scott,DAYS BEFORE RODEO,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730fc93fe41791c5aa51ae9645', 'width': 640}",2
bank account (with Lil Uzi Vert),"Baby Keem, Lil Uzi Vert",The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
booman,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
cocoa (with Don Toliver),"Baby Keem, Don Toliver",The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
durag activity (with Travis Scott),"Baby Keem, Travis Scott",The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",2
fine china,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
first order of business,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
fukumean,Gunna,a Gift & a Curse,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c', 'width': 640}",5
gloria (with sza),"Kendrick Lamar, SZA",GNX,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58', 'width': 640}",2
gorgeous,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
guidance,Travis Scott,Birds In The Trap Sing McKnight,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce', 'width': 640}",1
heart pt. 6,Kendrick Lamar,GNX,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58', 'width': 640}",1
highway 95,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
issues,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
lost souls,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
lost souls (with Brent Faiyaz),"Baby Keem, Brent Faiyaz",The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
luther (with sza),"Kendrick Lamar, SZA",GNX,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58', 'width': 640}",5
monster,21 Savage,i am > i was,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273280689ecc5e4b2038bb5e4bd', 'width': 640}",1
naked freestyle,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
no sense,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",2
out for the night,21 Savage,i am > i was,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273280689ecc5e4b2038bb5e4bd', 'width': 640}]",2
patience interlude,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
pink panties,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",2
range brothers (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
scars,Baby Keem,The Melodic Blue,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39', 'width': 640}",5
south africa,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
ss,Ken Carson,A Great Chaos (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733b494c1b464d41ef641de442', 'width': 640}",4
the ends,Travis Scott,Birds In The Trap Sing McKnight,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce', 'width': 640}",1
trademark usa,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
vent,Baby Keem,The Melodic Blue (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6b31d9de8df430efab41836', 'width': 640}",1
wonderful,Travis Scott,Birds In The Trap Sing McKnight,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce', 'width': 640}",1
‘87 Stingray,Tory Lanez,Alone at Prom (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734048d1ba8aa549c822504e03', 'width': 640}",3
Give Me Mercy,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
Big Sleep,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
Take Me Back To LA,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
Niagara Falls,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
Drive,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
Hurry Up Tomorrow,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
Without a Warning,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
Red Terror,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
The Abyss,The Weeknd,Hurry Up Tomorrow,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c1f2696b435053db82f1d0e8', 'width': 640}]",1
